Nadolice Małe, wrocławski, Dolnośląskie;Nadolice Małe;;51.0862927;17.2207695
Kaszyce Wielkie, trzebnicki, Dolnośląskie;Kaszyce Wielkie;;51.4131434;17.0214215
Skałka, wrocławski, Dolnośląskie;Skałka;;51.0926849;16.8291744
Ramułtowice, średzki, Dolnośląskie;Ramułtowice;;51.095001;16.726766
Stępin, wrocławski, Dolnośląskie;Stępin;;51.2133659;17.2850242
Sadków, oleśnicki, Dolnośląskie;Sadków;;51.3047563;17.3150544
Paniowice, trzebnicki, Dolnośląskie;Paniowice;;51.2119128;16.9429035
Łuczyna, oleśnicki, Dolnośląskie;Łuczyna;;51.2986644;17.2826743
Krzyków, wrocławski, Dolnośląskie;Krzyków;;51.1007749;17.2205975
Świerzów, trzebnicki, Dolnośląskie;Świerzów;;51.3371;16.946563
Niedary, trzebnicki, Dolnośląskie;Niedary;;51.3192;17.23403
Cielętniki, trzebnicki, Dolnośląskie;Cielętniki;;51.298271;17.20989
Kryniczno, trzebnicki, Dolnośląskie;Kryniczno;;51.2074747;17.0394225
Wrocław, Dolnośląskie, Śródmieście;;58-160;50.8521649;16.3217688396332
Radakowice, średzki, Dolnośląskie;Radakowice;;51.128276;16.74056
Radziądz, gm. Żmigród, trzebnicki, Dolnośląskie;Radziądz;;51.5112881;16.9665743
Wysoki Kościół, trzebnicki, Dolnośląskie;Wysoki Kościół;;51.2658394;17.0511268
Prusice, trzebnicki, Dolnośląskie;Prusice;;51.3707663;16.9626816
Psary, trzebnicki, Dolnośląskie;Psary;51-188;51.1873358;17.0320313
Żmigród, trzebnicki, dolnośląskie;Żmigród;;51.4717386;16.9082719
Krzeczyn, oleśnicki, dolnośląskie;Krzeczyn;;51.1515661;17.3357155
Kałowice, trzebnicki, dolnośląskie;Kałowice;;51.335105;17.1452112
Bogdaszowice, wrocławski, dolnośląskie;Bogdaszowice;;51.085896;16.78349
Kolonia, Sosnówka, oleśnicki, dolnośląskie;Sosnówka;;51.316055;17.455637
Łuczyna, oleśnicki, dolnośląskie;Łuczyna;;51.2986644;17.2826743
Zimnica, oleśnicki, dolnośląskie;Zimnica;;51.1551741;17.3881733
Liliowa, Gałów, średzki, dolnośląskie;Gałów;;51.1111189;16.8145917
Brzezinka, oleśnicki, dolnośląskie;Brzezinka;;51.28374;17.44955
Trzebnica, trzebnicki, dolnośląskie;Trzebnica;55-100;51.3096424;17.062596
Wisznia Mała, trzebnicki, dolnośląskie;Wisznia Mała;;51.250346;17.0484111
Oborniki Śląskie, Gola, trzebnicki, dolnośląskie;;55-110;51.4297103;16.8329999
Kobylice, trzebnicki, dolnośląskie;Kobylice;;51.3388435;17.0893349
Brzezina, średzki, dolnośląskie;Brzezina;;51.2018289;16.8321775
Wróblowice, średzki, dolnośląskie;Wróblowice;;51.1575618;16.7835683
Oleśnica, oleśnicki, dolnośląskie;Oleśnica;56-400;51.2095314;17.3804559
Mienice, trzebnicki, dolnośląskie;Mienice;;51.272899;17.002876
Bielawa, wrocławski, dolnośląskie;Bielawa;;51.1603102;17.2522922
Kaszowo, milicki, dolnośląskie;Kaszowo;;51.5005306;17.2505731
Oleśniczka, wrocławski, dolnośląskie;Oleśniczka;;51.1469694;17.2804047
Ligota Wielka, oleśnicki, dolnośląskie;Ligota Wielka;;51.1701681;17.3903444
Kamieniec Wrocławski, wrocławski, dolnośląskie;Kamieniec Wrocławski;55-002;51.075237;17.1735569
Lutynia, średzki, Dolnośląskie;Lutynia;;52.1010434;17.506167
Wrocław, dolnośląskie;Wrocław;;51.1089776;17.0326689
Topolowa, Śliwice, wrocławski, dolnośląskie;Śliwice;;51.1273013;17.2133892
Brzezinka Średzka, średzki, Dolnośląskie;Brzezinka Średzka;;51.2152266;16.8228416
Skałka, wrocławski, dolnośląskie;Skałka;;51.0926849;16.8291744
Zajączków, trzebnicki, dolnośląskie;Zajączków;;51.2321843;16.9431841
Nieciszów, oleśnicki, dolnośląskie;Nieciszów;;51.1830347;17.3204353
Rogoż, trzebnicki, dolnośląskie;Rogoż;;51.2164652;17.0234679
ul. Jaśminowa, Lutynia, średzki, dolnośląskie;Lutynia;;52.1010434;17.506167
Wrocław, Fabryczna, Pracze Odrzańskie, ul. Janowska;;;;
Pruszowice, wrocławski, dolnośląskie;Pruszowice;51-217;51.1875643;17.1341209
Boguszyce, oleśnicki, dolnośląskie;Boguszyce;;51.24468;17.39516
Gajków, wrocławski, dolnośląskie;Gajków;;51.0581885;17.1865315
Wrocław, Psie Pole, Lipa Piotrowska;;;;
Stawowa, Nadolice Wielkie, wrocławski, dolnośląskie;Nadolice Wielkie;55-03;51.0845173;17.2367799
Brzoskwiniowa, Ligota Piękna, trzebnicki, dolnośląskie;Ligota Piękna;55-114;51.2327723;17.0454379
Smolec, wrocławski, dolnośląskie;Smolec;;51.0747049;16.8839452
Wrocław, Fabryczna, Ratyń;;;;
Psary, trzebnicki, dolnośląskie;Psary;51-188;51.1873358;17.0320313
Wrocław, Fabryczna, Marszowice;;;;
Lutynia, średzki, dolnośląskie;Lutynia;;52.1010434;17.506167
Jaśminowa 2, Borowa, wrocławski, dolnośląskie;Borowa;;51.1905872;17.2800031
Domaszczyn, wrocławski, dolnośląskie;Domaszczyn;;51.188587;17.1669992
