id;adres_id;wojewodztwo;powiat;gmina;miejscowosc;miejscowosc_nadrzedna;ulica;nr_domu;x92;y92;nazwa_podmiotu;maksymalna_predkosc;medium;internet_stacjonarny;telefon_stacjonarny;telewizja;wkt;teryt_g;teryt_p;teryt_w
8591402;576390;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. GEN. WŁADYSŁAWA SIKORSKIEGO;35C;332347;370291;ORANGE POLSKA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(332347 370291);0218043;0218;02
8771090;521875;DOLNOŚLĄSKIE;ŚREDZKI;MIĘKINIA;LUBIATÓW;LUBIATÓW;;12;339092;375685;ORANGE POLSKA S.A.;DO 1;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(339092 375685);0218032;0218;02
8914844;216070;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;CIECHÓW;CIECHÓW;UL. POLNA;1;330103;365868;ORANGE POLSKA S.A.;DO 4;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(330103 365868);0218043;0218;02
9069069;9975661;DOLNOŚLĄSKIE;ŚREDZKI;MIĘKINIA;PISARZOWICE;PISARZOWICE;UL. WROCŁAWSKA;47;350073;373036;ORANGE POLSKA S.A.;DO 6;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(350073 373036);0218032;0218;02
9233681;5700811;DOLNOŚLĄSKIE;ŚREDZKI;MIĘKINIA;KOKORZYCE;KRĘPICE;UL. AKACJOWA;17;345811;368858;ORANGE POLSKA S.A.;DO 10;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(345811 368858);0218032;0218;02
9258249;1984396;DOLNOŚLĄSKIE;ŚREDZKI;KOSTOMŁOTY;ZABŁOTO;ZABŁOTO;;28;332680;357746;ORANGE POLSKA S.A.;DO 8;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(332680 357746);0218012;0218;02
9259275;239395;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. LEGNICKA;18;331440;369163;ORANGE POLSKA S.A.;DO 30;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(331440 369163);0218043;0218;02
9362540;525812;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚWIĘTE;ŚWIĘTE;;51;336632;370923;ORANGE POLSKA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(336632 370923);0218043;0218;02
54625;1706422;DOLNOŚLĄSKIE;ŚREDZKI;KOSTOMŁOTY;KARCZYCE;KARCZYCE;;27;342178;362036;ORANGE POLSKA S.A.;DO 6;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(342178 362036);0218012;0218;02
89779;252742;DOLNOŚLĄSKIE;ŚREDZKI;UDANIN;UDANIN;UDANIN;;22;321350;355331;ORANGE POLSKA S.A.;DO 80;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(321350 355331);0218052;0218;02
899371;582615;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. WŁADYSŁAWA STANISŁAWA REYMONTA;14;330299;369091;ORANGE POLSKA S.A.;DO 10;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(330299 369091);0218043;0218;02
