id_pa;nazwa_podmiotu;rpt_podmiotu;medium;plan_data_oddania;przepustowosc;czy_szkola;wojewodztwo;powiat;kod_terc;gmina;kod_simc;miejscowosc;kod_ulic;ulica;numer_porzadkowy;x92;y92;x84;y84;teryt_g;wkt;ulica_old;teryt_p;teryt_w
203536;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;25;408052;391617;17,6782810000;51,3837140000;0214053;POINT(408051.974376941 391617.024680225);;0214;02
203533;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;12;407656;391696;17,6725700000;51,3843600000;0214053;POINT(407655.993130906 391696.018730563);;0214;02
203534;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;19;407806;391668;17,6747330000;51,3841320000;0214053;POINT(407806.000320533 391667.949653671);;0214;02
969258;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;22;407943;391630;17,6767120000;51,3838130000;0214053;POINT(407943.026669467 391629.999434426);;0214;02
176876;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;14;407683;391653;17,6729690000;51,3839780000;0214053;POINT(407682.980211592 391653.048881359);;0214;02
176889;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;11A;407614;391650;17,6719790000;51,3839390000;0214053;POINT(407614.03346852 391649.960188889);;0214;02
176877;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;17;407753;391649;17,6739760000;51,3839530000;0214053;POINT(407752.980744915 391649.002160113);;0214;02
1026419;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;20;407833;391687;17,6751160000;51,3843080000;0214053;POINT(407832.996766243 391687.034257829);;0214;02
1026425;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;24;407981;391626;17,6772590000;51,3837830000;0214053;POINT(407981.018075206 391625.977649511);;0214;02
228013;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;13;407663;391657;17,6726810000;51,3840100000;0214053;POINT(407663.010227519 391656.969021677);;0214;02
228016;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;18;407784;391697;17,6744090000;51,3843900000;0214053;POINT(407783.980292678 391697.039280384);;0214;02
228017;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;23;407977;391663;17,6771920000;51,3841150000;0214053;POINT(407977.023200553 391662.970583509);;0214;02
228018;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;5A;407511;391766;17,6704680000;51,3849660000;0214053;POINT(407510.992860562 391766.037987684);;0214;02
228015;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;16;407725;391651;17,6735730000;51,3839660000;0214053;POINT(407724.972642752 391650.954498439);;0214;02
1389613;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;19;392476;390472;17,4548100000;51,3706800000;0214083;POINT(392476.000075691 390471.998237409);;0214;02
1306528;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;27E;392087;390756;17,4491360000;51,3731600000;0214083;POINT(392087.020011627 390756.031433729);;0214;02
1304327;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;10D;392538;390595;17,4556630000;51,3717980000;0214083;POINT(392537.97167139 390595.034334131);;0214;02
739707;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;25A;392395;390562;17,4536190000;51,3714740000;0214083;POINT(392394.988774788 390562.013160934);;0214;02
960470;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;31A;392027;390769;17,4482700000;51,3732650000;0214083;POINT(392027.011842632 390768.978960662);;0214;02
183643;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;4G;392587;390398;17,4564270000;51,3700360000;0214083;POINT(392587.007990638 390398.035853631);;0214;02
183642;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;4E;392610;390371;17,4567650000;51,3697970000;0214083;POINT(392609.96804745 390370.971510407);;0214;02
183645;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;31;392024;390766;17,4482280000;51,3732380000;0214083;POINT(392024.026018153 390766.03925487);;0214;02
183578;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;27;392305;390645;17,4523010000;51,3722030000;0214083;POINT(392304.991172915 390644.98997608);;0214;02
183579;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;4B;392649;390325;17,4573400000;51,3693910000;0214083;POINT(392649.02924802 390324.995138885);;0214;02
183644;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;21;392453;390496;17,4544720000;51,3708910000;0214083;POINT(392452.97558272 390495.950481934);;0214;02
218028;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;3;392703;390223;17,4581460000;51,3684840000;0214083;POINT(392702.994226834 390222.985588847);;0214;02
218152;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;4J;392551;390437;17,4558980000;51,3703800000;0214083;POINT(392551.003599412 390437.05286148);;0214;02
218149;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;35;392023;390842;17,4481900000;51,3739210000;0214083;POINT(392022.988992274 390842.023350867);;0214;02
218140;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;10A;392380;390648;17,4533780000;51,3722440000;0214083;POINT(392380.025224138 390647.96666927);;0214;02
218040;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214084;TWARDOGÓRA;987390;TWARDOGÓRA;10898;UL. LEŚNA;13;392616;390317;17,4568680000;51,3693130000;0214083;POINT(392616.002869768 390317.015069002);;0214;02
